DEPARTAMENTO;SECAO;CATEGORIA;FORNECEDOR;COD;DESCRICAO;LOJA;QTD_Venda_NOV;QTD_Venda_OUT;QTD_Venda_SET;QTD_Venda_AGO;QTD_Venda_JUL;QTD_Venda_JUN;Comprador
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;51982; LAVA ROUPAS PO SURF SCH 2,4KG COCO;29 - GUARA II;42;45;25;8;6;12;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;54452; LAVA ROUPAS PO OMO CX 720G BCO ABSOLUTO;28 - AGUAS CLARAS;42;125;4;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;48090; SH SEDA JUNTINHOS TODOS OS TIPOS 300ML;27 - PLANALTINA;42;61;27;32;38;38;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;48095; CR PENTEAR SEDA JUNTINHOS 300ML BRILHO;28 - AGUAS CLARAS;42;29;35;38;25;25;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51758; COND SEDA CACHOS DEFINIDOS 425ML;28 - AGUAS CLARAS;42;45;63;65;40;63;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;15332; SAB DOVE BABY HIDRAT HENRIQ 75GR;30 - LEM - BA;42;56;29;35;27;45;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;31486; SAB LIQ DOVE BABY HIDRAT ENRIQ 400ML;28 - AGUAS CLARAS;42;64;52;56;0;12;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;49618; DESOD AERO REXONA CLINICAL SPORT 150ML;28 - AGUAS CLARAS;42;44;55;47;52;38;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;5690; DESOD ROLL ON REXONA MASC V8 50ML;32 - CEILANDIA CENTRO;42;10;59;47;39;17;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;53048; ENX BUCAL CLOSE UP LV500 PG350ML ICE;28 - AGUAS CLARAS;42;52;57;46;16;11;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;5266; CALDO ARISCO CARNE 57G;29 - GUARA II;42;40;97;64;42;17;ALESSANDRO MORAIS GONÇALVES
LIMPEZA;CUIDADOS COM A COZINHA;DESENGORDURANTE;194 - UNILEVER BRASIL LTDA;42201; DESENG CIF 500ML;32 - CEILANDIA CENTRO;41;14;15;13;19;17;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A COZINHA;DESENGORDURANTE;194 - UNILEVER BRASIL LTDA;54495; DESENG CIF SCH 450ML DERRETE GORDURA;32 - CEILANDIA CENTRO;41;32;5;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
