DEPARTAMENTO;SECAO;CATEGORIA;FORNECEDOR;COD;DESCRICAO;LOJA;QTD_Venda_NOV;QTD_Venda_OUT;QTD_Venda_SET;QTD_Venda_AGO;QTD_Venda_JUL;QTD_Venda_JUN;Comprador
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;15 - GOIANIA;2120;1038;1170;1999;1135;1087;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;13 - LUZIANIA;2081;2486;1797;3183;1729;1243;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;15 - GOIANIA;2076;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;39708; LAVA ROUPAS PO OMO SCH 2,4KG LAVAG PERFT;15 - GOIANIA;1735;1256;1631;1499;1584;959;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;16 - SANTO ANTONIO;1724;1318;1433;1368;1479;1018;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;15 - GOIANIA;1537;535;138;928;780;1064;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;12 - GAMA;1286;580;0;442;338;412;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;12 - GAMA;1282;664;1839;1134;930;721;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;16 - SANTO ANTONIO;1131;1246;1011;765;930;821;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37975; LAVA ROUPAS PO OMO CX 800G LAVAG PERFT;1 - CEILANDIA;1099;912;1296;805;920;767;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;13 - LUZIANIA;1090;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;1 - CEILANDIA;1088;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51782; DESOD AERO REXONA MASC ACTIVE 200ML;13 - LUZIANIA;1079;805;974;751;692;622;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;16 - SANTO ANTONIO;1027;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;13 - LUZIANIA;1016;609;415;826;862;1044;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28402; CR DENT CLOSE UP TRIPLE 70G MENTA AMERIC;16 - SANTO ANTONIO;986;1048;1073;677;599;719;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;13 - LUZIANIA;981;1203;535;719;1264;969;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28402; CR DENT CLOSE UP TRIPLE 70G MENTA AMERIC;1 - CEILANDIA;895;739;880;623;691;839;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;55437; LAVA ROUPAS PO BRILHANTE CX 800G LIMP;12 - GAMA;849;0;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;CONSERVA E ENLATADO;MILHO VERDE;5986 - UNILEVER BRASIL LTDA;33458; MILHO VERDE KNORR EM CONSERVA 170G;15 - GOIANIA;823;1741;2916;5660;4115;6912;ALESSANDRO MORAIS GONÇALVES
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49577; LAVA ROUPAS PO BRILHANTE CX 1,6KG LIMP;15 - GOIANIA;805;1613;1283;1691;1391;1123;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34915; SAB LUX ORQUIDEA NEGRA 85G;15 - GOIANIA;774;720;595;1007;570;493;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;5821; SAB DOVE REGULAR 90GR;13 - LUZIANIA;770;762;778;694;677;534;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;39708; LAVA ROUPAS PO OMO SCH 2,4KG LAVAG PERFT;13 - LUZIANIA;760;359;892;1330;790;809;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28401; CR DENT CLOSE UP TRIPLE 70G HORTELA;16 - SANTO ANTONIO;746;840;763;435;595;602;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;43199; MAIONESE HELLMANNS 657G TRAD;13 - LUZIANIA;738;1160;1343;1014;829;731;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34915; SAB LUX ORQUIDEA NEGRA 85G;13 - LUZIANIA;723;857;495;1211;556;664;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37974; LAVA ROUPAS PO OMO CX 1,6KG LAVAG PERFT;13 - LUZIANIA;721;128;1370;835;1094;255;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;16 - SANTO ANTONIO;693;418;117;477;452;578;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28401; CR DENT CLOSE UP TRIPLE 70G HORTELA;13 - LUZIANIA;661;725;566;450;790;779;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51783; DESOD AERO REXONA FEM POWDER 200ML;13 - LUZIANIA;659;538;784;492;248;368;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;43199; MAIONESE HELLMANNS 657G TRAD;16 - SANTO ANTONIO;647;620;775;631;551;501;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;5821; SAB DOVE REGULAR 90GR;15 - GOIANIA;641;728;822;804;667;712;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51855; DESOD AERO DOVE FEM ORIG 200ML;13 - LUZIANIA;620;94;298;535;309;453;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34911; SAB LUX FLOR DE LOTUS 85G;13 - LUZIANIA;616;1027;726;1158;523;538;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28402; CR DENT CLOSE UP TRIPLE 70G MENTA AMERIC;13 - LUZIANIA;615;936;798;633;840;680;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;5194; MAIONESE HELLMANNS 250G TRAD;15 - GOIANIA;604;548;426;461;469;501;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28401; CR DENT CLOSE UP TRIPLE 70G HORTELA;15 - GOIANIA;583;787;500;438;372;294;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49290; LAVA ROUPAS PO BRILHANTE SCH 1,6KG LIMP;13 - LUZIANIA;579;330;363;359;714;352;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;1 - CEILANDIA;576;657;622;470;692;420;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34914; SAB LUX LIRIO AZUL 85G;16 - SANTO ANTONIO;561;802;702;1271;719;575;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;18777; SH/COND KIT SEDA CERAMIDAS UN;16 - SANTO ANTONIO;556;587;84;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;39708; LAVA ROUPAS PO OMO SCH 2,4KG LAVAG PERFT;16 - SANTO ANTONIO;555;507;572;653;598;546;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;53227; MAIONESE HELLMANNS 335G CHURRASCO;15 - GOIANIA;520;207;401;219;348;96;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;12 - GAMA;518;694;693;637;552;443;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;52906; LAVA ROUPAS PO OMO CX 3,2KG LAVAG PERFT;1 - CEILANDIA;514;299;151;162;204;376;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;51786; LAVA ROUPAS PO BRILHANTE 2,4KGLIMP TOTAL;15 - GOIANIA;513;519;678;212;657;185;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A COZINHA;SAPONACEO;194 - UNILEVER BRASIL LTDA;38177; SAPONACEO CREM CIF L450 P360ML;15 - GOIANIA;496;492;446;492;448;310;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;51981; LAVA ROUPAS PO SURF SCH 2,4KG ROSA/FLOR;16 - SANTO ANTONIO;492;342;399;252;457;312;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51782; DESOD AERO REXONA MASC ACTIVE 200ML;16 - SANTO ANTONIO;490;432;433;394;492;414;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34913; SAB LUX LAVANDA 85G;15 - GOIANIA;486;402;365;751;490;469;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51783; DESOD AERO REXONA FEM POWDER 200ML;16 - SANTO ANTONIO;477;346;370;296;389;335;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;39708; LAVA ROUPAS PO OMO SCH 2,4KG LAVAG PERFT;12 - GAMA;464;362;464;243;352;275;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;CATCHUP;5986 - UNILEVER BRASIL LTDA;46580; CATCHUP ARISCO 370G TRAD;16 - SANTO ANTONIO;461;425;507;549;719;504;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;5194; MAIONESE HELLMANNS 250G TRAD;13 - LUZIANIA;457;496;562;676;586;469;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34911; SAB LUX FLOR DE LOTUS 85G;15 - GOIANIA;442;637;634;880;500;500;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34916; SAB LUX ROSAS FRANCESAS 85G;15 - GOIANIA;440;573;503;712;489;305;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51855; DESOD AERO DOVE FEM ORIG 200ML;1 - CEILANDIA;438;44;311;237;233;559;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34910; SAB LUX BUQUE DE JASMIM 85G;13 - LUZIANIA;433;734;557;950;519;423;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51780; DESOD AERO REXONA MASC INVISIBLE 200ML;15 - GOIANIA;431;196;356;201;206;201;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;51786; LAVA ROUPAS PO BRILHANTE 2,4KGLIMP TOTAL;16 - SANTO ANTONIO;429;454;358;69;241;58;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28403; CR DENT CLOSE UP TRIPLE 70G MENTA;15 - GOIANIA;418;621;410;214;371;432;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34912; SAB LUX FLOR DE VERBENA 85G;13 - LUZIANIA;411;555;453;604;404;393;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34914; SAB LUX LIRIO AZUL 85G;15 - GOIANIA;409;633;861;923;756;556;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34916; SAB LUX ROSAS FRANCESAS 85G;16 - SANTO ANTONIO;408;649;523;1243;480;414;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51855; DESOD AERO DOVE FEM ORIG 200ML;16 - SANTO ANTONIO;408;78;400;409;385;630;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;18771; SH/COND KIT SEDA LISO PERFEITO UN;12 - GAMA;407;199;184;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;18777; SH/COND KIT SEDA CERAMIDAS UN;13 - LUZIANIA;407;305;91;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34915; SAB LUX ORQUIDEA NEGRA 85G;16 - SANTO ANTONIO;406;944;759;1267;535;535;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51772; DESOD AERO REXONA FEM FR VERM 200ML;13 - LUZIANIA;402;288;266;157;159;192;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51855; DESOD AERO DOVE FEM ORIG 200ML;12 - GAMA;398;127;263;128;180;512;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51772; DESOD AERO REXONA FEM FR VERM 200ML;16 - SANTO ANTONIO;385;262;294;135;222;212;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51782; DESOD AERO REXONA MASC ACTIVE 200ML;15 - GOIANIA;383;289;432;352;243;338;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;6004; CR DENT CLOSE UP ACAO PROF 90G REDHOT;13 - LUZIANIA;382;387;267;280;274;273;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;41979; SAB LUX CAPIM LIMAO 85G;15 - GOIANIA;378;372;416;387;606;315;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34914; SAB LUX LIRIO AZUL 85G;13 - LUZIANIA;373;643;613;818;307;430;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49577; LAVA ROUPAS PO BRILHANTE CX 1,6KG LIMP;16 - SANTO ANTONIO;372;698;759;472;724;1026;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;CATCHUP;5986 - UNILEVER BRASIL LTDA;46580; CATCHUP ARISCO 370G TRAD;13 - LUZIANIA;370;347;367;445;607;373;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;18777; SH/COND KIT SEDA CERAMIDAS UN;12 - GAMA;369;405;198;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;18777; SH/COND KIT SEDA CERAMIDAS UN;15 - GOIANIA;369;245;100;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37974; LAVA ROUPAS PO OMO CX 1,6KG LAVAG PERFT;12 - GAMA;364;694;1396;1079;1383;787;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;53227; MAIONESE HELLMANNS 335G CHURRASCO;16 - SANTO ANTONIO;364;275;265;241;367;177;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;5249; CALDO KNORR GALINHA 114G;13 - LUZIANIA;363;436;394;404;430;355;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28401; CR DENT CLOSE UP TRIPLE 70G HORTELA;12 - GAMA;362;779;612;450;401;334;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51781; DESOD AERO REXONA MASC ANTIBAC 200ML;13 - LUZIANIA;360;327;352;300;245;200;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;51982; LAVA ROUPAS PO SURF SCH 2,4KG COCO;16 - SANTO ANTONIO;352;309;248;355;125;203;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;54907; SH/COND KIT SEDA CACHOS DEFINIDOS UN;16 - SANTO ANTONIO;349;134;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
MERCEARIA;SECA DOCE;NUTRICAO INFANTIL;5986 - UNILEVER BRASIL LTDA;5158; AMIDO DE MILHO MAIZENA 200G;15 - GOIANIA;347;254;181;386;405;404;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;50218; MAIONESE HELLMANNS 330G SUPREME;12 - GAMA;346;121;211;166;201;242;ALESSANDRO MORAIS GONÇALVES
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37974; LAVA ROUPAS PO OMO CX 1,6KG LAVAG PERFT;15 - GOIANIA;345;430;1340;663;1359;466;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;37974; LAVA ROUPAS PO OMO CX 1,6KG LAVAG PERFT;16 - SANTO ANTONIO;337;176;994;647;1012;404;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;38149; LAVA ROUPAS PO OMO CX 800G PURO CUID;15 - GOIANIA;337;121;26;346;250;147;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49290; LAVA ROUPAS PO BRILHANTE SCH 1,6KG LIMP;15 - GOIANIA;334;404;512;655;1025;846;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51783; DESOD AERO REXONA FEM POWDER 200ML;15 - GOIANIA;334;214;348;208;221;245;NATHALIA VERAS RODRIGUES DE MEDEIROS
MERCEARIA;SECA DOCE;NUTRICAO INFANTIL;5986 - UNILEVER BRASIL LTDA;5158; AMIDO DE MILHO MAIZENA 200G;13 - LUZIANIA;325;305;279;117;353;273;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34910; SAB LUX BUQUE DE JASMIM 85G;12 - GAMA;323;230;249;277;133;215;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34910; SAB LUX BUQUE DE JASMIM 85G;15 - GOIANIA;322;423;308;719;377;277;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49577; LAVA ROUPAS PO BRILHANTE CX 1,6KG LIMP;13 - LUZIANIA;320;646;533;668;587;825;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51855; DESOD AERO DOVE FEM ORIG 200ML;15 - GOIANIA;320;135;160;351;213;334;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;34915; SAB LUX ORQUIDEA NEGRA 85G;12 - GAMA;317;472;398;496;250;308;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;28402; CR DENT CLOSE UP TRIPLE 70G MENTA AMERIC;15 - GOIANIA;317;352;256;400;372;344;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51773; DESOD AERO REXONA FEM BAMBOO 200ML;15 - GOIANIA;313;178;225;143;197;101;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;42554; LAVA ROUPAS PO OMO CX 800G SANITIZA;15 - GOIANIA;308;350;419;409;241;300;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;54461; LAVA ROUPAS PO OMO CX 800G LAV;12 - GAMA;305;184;30;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;38157; LAVA ROUPAS LIQ OMO 900ML LAVAG PERFT;15 - GOIANIA;303;279;342;377;317;283;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;5254; CALDO KNORR CARNE 114G;13 - LUZIANIA;302;145;318;245;308;279;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51755; SH SEDA LISO PERFEITO 425ML;13 - LUZIANIA;300;339;293;253;275;175;NATHALIA VERAS RODRIGUES DE MEDEIROS
